ID,skill,tag,include
6,Surveying ,field,Y
7,Electrical Resistivity Tomography,field,Y
8,Environmental Data Loggers,field,Y
9,Soil profile and sampling protocol,field,Y
10,Water sampling,field,Y
11,Statistical Methods,stats2,Y
12,Statistical Software,stats1,Y
13,Software,other,Y
