jobID,begin,end,role,where,dept,city,state,country,supervisor
1,4/02/2020,3/07/2020,Scientist,"QLD Dept. of Natural Resources, Mining and Energy",Land and Water Science Unit,Rockhampton,QLD,Australia,Bronwyn Bosomworth
2,11/08/2014,4/07/2019,PhD Researcher,University of Western Australia,School of Agriculture and Environment,Perth,WA,Australia,Nik Callow
3,1/08/2019,31/12/2019,Research Assistant,University of Western Australia,School of Agriculture and Environment,Perth,WA,Australia,Nik Callow
4,13/07/2020,12/06/2021,Postdoctoral Researcher,University College Dublin,School of Geography,Dublin/Brisbane,QLD,Ireland/Australia,Jacky Croke
5,14/06/2021,30/06/2024,Research Associate,University of New South Wales,"School of Biological, Earth and Environmental Sciences",Sydney,NSW,Australia,Andy Baker
6,1/08/2024,,Research Fellow,Max Planck Institute for Chemistry,Department of Climate Geochemistry,Mainz,Rhineland-Palatinate,Germany,Hubert Vonhof
7,1/08/2024,,Adjunct Fellow,University of New South Wales,"School of Biological, Earth and Environmental Sciences",Sydney,NSW,Australia,Andy Baker
