ID,year,group,include
1,2021,Geology,Y
2,2022,Paleoceanography and Paleoclimatology,Y
3,2023,Climate of the Past,Y
4,2023,Nature Communications,Y
5,2023,Geochimica et cosmochimica acta,Y
